model,total_folds,successful_folds,test_rms_n,test_rms_mean,test_rms_std,test_rms_median,test_rms_min,test_rms_max,test_p95_n,test_p95_mean,test_p95_std,test_p95_median,test_p95_min,test_p95_max,test_edge_rms_n,test_edge_rms_mean,test_edge_rms_std,test_edge_rms_median,test_edge_rms_min,test_edge_rms_max,test_straightness_n,test_straightness_mean,test_straightness_std,test_straightness_median,test_straightness_min,test_straightness_max
brown_conrady,25,25,25,6.269822638368304,2.365987556142465,6.234952225515929,2.9251320135103347,11.05187774695817,25,12.212395442962643,5.61967270119691,10.637531328201293,5.123728084564206,22.985164642333984,25,6.5410345062810835,2.6394299921035587,6.385574957259978,2.990309307074053,12.33626536679031,25,1.2937004989250172,0.35388056858558753,1.2664668914968296,0.7835776522806286,2.179859864618577
extended_pinhole,25,25,25,4.082288741446016,3.60461057555029,3.294474047985505,1.2352838369302543,18.246702142019664,25,7.521612315177915,6.322800694492648,4.708729076385498,2.5687025547027584,29.06872577667236,25,4.2419731337403315,4.01333089057503,2.662646278770718,1.255159133582011,19.98961275487386,25,0.9674761159037842,0.38754087710776797,0.7947421062138111,0.4960338382853089,2.070133843888258
fisheye,25,25,25,1.7690598766534358,0.7507047876169856,1.4285158465979648,1.1054211194121115,3.277949781556086,25,2.982911029127844,0.4213327710787166,3.0631947552322996,2.1649649783573897,3.825998590856931,25,1.556639518777874,0.38405303726463064,1.4292463105287845,1.0901968044757182,2.4816336760618687,25,0.4511008310689949,0.08516019223356795,0.457284917323288,0.31660350806913873,0.6242693634220277
