model,method,paper_intrinsic_stability,all_parameter_stability,parameter,category,reference,mean,std,cv,ci_low,ci_high,stability_score,near_zero_reference,diagnostic
brown_conrady,covariance,99.58194694808921,99.58194694808921,fx,intrinsic,2243.638254617074,2243.638254617074,6.8326133324821,0.0030453275248011114,2230.246332485409,2257.030176748739,99.69546724751989,False,
brown_conrady,covariance,99.58194694808921,99.58194694808921,fy,intrinsic,2268.6815162446896,2268.6815162446896,7.2330525237682215,0.0031882185630625545,2254.504733298104,2282.8582991912754,99.68117814369376,False,
brown_conrady,covariance,99.58194694808921,99.58194694808921,cx,intrinsic,1915.4736704639176,1915.4736704639176,4.886132987358609,0.002550874523989261,1905.8968498086947,1925.0504911191406,99.74491254760107,False,
brown_conrady,covariance,99.58194694808921,99.58194694808921,cy,intrinsic,934.102348123138,934.102348123138,7.414625576763116,0.007937701464578359,919.5696819926823,948.6350142535937,99.20622985354215,False,
extended_pinhole,covariance,99.90139739831469,99.90139739831469,fx,intrinsic,1999.3573873389823,1999.3573873389823,2.763422869652024,0.001382155530147596,1993.9410785144644,2004.7736961635003,99.86178444698524,False,
extended_pinhole,covariance,99.90139739831469,99.90139739831469,fy,intrinsic,2009.4161331578337,2009.4161331578337,2.9639064169081326,0.0014750087689652915,2003.6068765806938,2015.2253897349735,99.85249912310347,False,
extended_pinhole,covariance,99.90139739831469,99.90139739831469,cx,intrinsic,1924.4958342282805,1924.4958342282805,1.5061150389240212,0.0007826023897463881,1921.5438487519893,1927.4478197045717,99.92173976102536,False,
extended_pinhole,covariance,99.90139739831469,99.90139739831469,cy,intrinsic,999.66567053375,999.66567053375,0.3042356295999388,0.0003043373785532704,999.0693686997341,1000.2619723677659,99.96956626214467,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,fx,intrinsic,1894.6053272999231,1896.179273322906,3.5834772484212363,0.0018898409548277954,1890.0564670369342,1902.215430985746,99.81101590451722,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,fy,intrinsic,1900.0376527037572,1902.1546897010128,3.951023356073453,0.002077130412928976,1895.2050485217535,1908.7444035625847,99.7922869587071,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,cx,intrinsic,1921.674420816801,1921.661409787662,3.0504619594325053,0.001587408657891284,1916.840765988702,1927.0588359625883,99.84126020899336,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,cy,intrinsic,1096.6091860246631,1097.0457000085253,3.361391953683083,0.0030640400428687347,1092.0262641059546,1102.18814247629,99.69359599571312,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,k1,distortion,-0.01869250875522832,-0.021421091614196055,0.005980688303527088,0.27919624318135133,-0.03131833643386134,-0.010798647996042483,72.08037568186487,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,k2,distortion,-0.02006817391975529,-0.014203643628589677,0.014944604022520661,1.0521669237349456,-0.04142546164073585,0.009562244477677492,25.53082267336213,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,k3,distortion,0.011816418481929658,0.006904233454744309,0.014752147177535103,2.1366813961654247,-0.01630830734955053,0.0350872965887009,0.0,False,
fisheye,bootstrap,99.78453976698269,62.093669677894724,k4,distortion,-0.0033606343057999122,-0.0019318617631322629,0.005123257731535494,2.6519794683594733,-0.01203170584568845,0.006001647436500115,0.0,False,
pinhole,covariance,97.24708052796149,97.24708052796149,fx,intrinsic,2674.7473171806487,2674.7473171806487,41.728931771037736,0.015601074353080441,2592.958610909415,2756.5360234518826,98.43989256469196,False,
pinhole,covariance,97.24708052796149,97.24708052796149,fy,intrinsic,2674.719642983731,2674.719642983731,40.47420987769417,0.015132131692330925,2595.3901916234504,2754.0490943440113,98.4867868307669,False,
pinhole,covariance,97.24708052796149,97.24708052796149,cx,intrinsic,1727.606860385182,1727.606860385182,18.6126142275079,0.010773639914441002,1691.1261364992665,1764.0875842710975,98.9226360085559,False,
pinhole,covariance,97.24708052796149,97.24708052796149,cy,intrinsic,632.9661364339718,632.9661364339718,43.427764162434954,0.06860993292168821,547.8477186755993,718.0845541923443,93.13900670783117,False,
